1.002713101,0.995986206,1.020048005,0.992687089,1.013256311,1.01422659,1.00323047,1.003942064,1.004330005,1.00096643,1.004588689,1.004976801,1.005559053,1.008534431
0.999090672,0.992169636,1.017590165,0.988741517,1.009310654,1.010798131,0.999220014,0.999543497,1.001095942,0.996826632,1.001289913,1.001613481,1.001678109,1.004718116
0.997150285,0.989841138,1.015326125,0.986089536,1.00633502,1.00795235,0.996309349,0.996826802,0.998120308,0.994174651,0.998961415,0.999220099,0.999543411,1.002001422
0.995727181,0.987900496,1.01377385,0.98389038,1.004200663,1.005688395,0.993980765,0.994563103,0.996244805,0.992105092,0.997214828,0.996697545,0.99779708,0.999737467
0.994498134,0.986412849,1.012350832,0.981949823,1.00232482,1.003618326,0.992040294,0.992622461,0.994562932,0.990099737,0.995274442,0.994627646,0.996309263,0.997926423
0.993269171,0.985119258,1.010992357,0.980203322,1.00051369,1.001548852,0.990164621,0.990746788,0.993139914,0.988417949,0.99378671,0.992881145,0.994951044,0.996050664
0.992557747,0.984084266,1.009828193,0.978650791,0.999155385,0.999866894,0.988482663,0.989194087,0.992104922,0.986865674,0.992299063,0.990875874,0.993721911,0.994498304
0.991587554,0.982790674,1.008793201,0.977033973,0.997796995,0.998702475,0.987189072,0.98770627,0.991005387,0.985766138,0.990940673,0.989646912,0.992557917,0.993139914
0.990681904,0.98162634,1.007628952,0.975998896,0.996309263,0.996762003,0.98544257,0.98615425,0.989905766,0.984278406,0.989582368,0.988353491,0.991328784,0.991587554
0.989905766,0.980591519,1.006723217,0.974964074,0.995080471,0.995533126,0.98434312,0.98498983,0.988676889,0.983243329,0.988224064,0.986995016,0.990293877,0.99042322
0.989194172,0.979750497,1.005688225,0.974187936,0.993980765,0.994304333,0.982855303,0.983437385,0.987253785,0.981949653,0.987059729,0.985766053,0.989323514,0.989258885
0.988482663,0.978845017,1.00542954,0.972635405,0.992816516,0.992816431,0.981561712,0.982208678,0.986283592,0.980526805,0.987641897,0.98479586,0.988288522,0.988482663
0.987771324,0.977486713,1.006011793,0.971600413,0.991652267,0.991846323,0.980462006,0.980914831,0.985119258,0.979686039,0.986542361,0.983760868,0.987512469,0.987447841
0.987253785,0.976516434,1.004524061,0.970371451,0.990875874,0.990875789,0.980914831,0.979685954,0.984342865,0.978456821,0.985765968,0.983178616,0.986412849,0.986218963
0.986542191,0.976904546,1.00323064,0.969918881,0.989841052,0.990035278,0.979750497,0.978327479,0.983243499,0.978327734,0.984213608,0.982402563,0.985636796,0.984860488
0.986024908,0.976775374,1.002260191,0.969207202,0.989000116,0.989129714,0.978456906,0.977292742,0.982596619,0.978651047,0.983437385,0.981044429,0.984860318,0.984407834
0.985377772,0.975222758,1.003295268,0.968042953,0.988094466,0.988223978,0.977745312,0.976322378,0.981561797,0.977680683,0.983178786,0.980397463,0.984148809,0.983437385
0.984731231,0.974834646,1.001742738,0.967072674,0.987318499,0.987189157,0.97690446,0.975481357,0.980979715,0.976063779,0.982402478,0.978909731,0.983566982,0.982790674
0.984990001,0.973670312,1.000707831,0.966360995,0.98634822,0.986218963,0.97561104,0.974317193,0.980332664,0.975675327,0.981367486,0.978844847,0.982661332,0.981626425
0.984343375,0.97244135,0.999996151,0.965455515,0.985572168,0.985119173,0.974575877,0.973993795,0.97962107,0.975028702,0.980397378,0.978780133,0.982014452,0.980850203
