1.000424646,0.999870114,1.000096322,1.000345113,1.000016212,1.001779357
0.999683239,0.999112213,0.999612287,0.999963491,0.999235266,1.002840329
0.998722269,0.998443783,0.998645949,0.999515739,0.998647487,1.003508025
0.998002576,0.997505907,0.997891311,0.998434246,0.997704074,1.003431817
0.99799327,0.997204681,0.998023667,0.998728385,0.997994514,1.004679114
0.997819895,0.996118266,0.997592298,0.997962385,0.997209774,1.004448392
0.998219725,0.997214354,0.997603731,0.997715088,0.996599573,1.004130625
0.997476938,0.996828495,0.996980411,0.997132322,0.996259807,1.004104057
0.996872369,0.995977671,0.996469696,0.996607419,0.995674787,1.004141112
0.996269522,0.995597684,0.99590597,0.99587655,0.994854863,1.004053368
0.995813165,0.995127883,0.995392138,0.99543672,0.99466894,1.004227458
0.995812476,0.995180044,0.995311061,0.995003089,0.994236729,1.004142511
0.995303038,0.994621464,0.994817671,0.994355571,0.993628253,1.003634223
0.994581966,0.994092247,0.994085555,0.993726652,0.99294665,1.003540186
0.994231771,0.993749223,0.993645523,0.993403927,0.992593431,1.003463279
0.993963954,0.993226223,0.993589393,0.993109788,0.992373358,1.003197599
0.993501393,0.992776112,0.993014233,0.992537355,0.991857327,1.002796632
0.993516559,0.992442415,0.992999334,0.992317267,0.991836631,1.002888221
0.99293267,0.991970541,0.992218017,0.991661139,0.991034298,1.002480962
0.992368772,0.991795056,0.992185102,0.991820263,0.991078796,1.002401608
0.992173683,0.991284147,0.991909995,0.991326014,0.990512748,1.002156553
0.99104382,0.991029556,0.99106943,0.990888939,0.990228171,1.001920936
0.990941105,0.990324854,0.99053273,0.989596314,0.989190934,1.001791942
0.990823225,0.989964558,0.990589553,0.989840511,0.989119877,1.001178431
0.990432357,0.989682677,0.990319297,0.989830178,0.988553484,1.001406356
0.990061825,0.989613243,0.990048002,0.989304931,0.988494499,1.001200454
0.989371775,0.989202512,0.989323508,0.989010103,0.987883954,1.000823608
0.989176686,0.988977975,0.989122202,0.988513788,0.987503484,1.000709296
0.988576597,0.988833925,0.988827346,0.988158342,0.987284446,1.000770472
0.988425971,0.988659131,0.988429585,0.988028494,0.987020567,1.000472281
0.988023385,0.988458775,0.988225854,0.987680625,0.986716329,1.000039153
0.987649061,0.988190712,0.98780765,0.98738442,0.986394154,1.000088793
0.987427087,0.987774108,0.987488194,0.987081326,0.986175807,0.999993708
0.987076892,0.987675657,0.987258476,0.986733113,0.985756359,0.999739913
0.986612952,0.987431775,0.986994457,0.986359757,0.985534907,0.999516532
0.986350305,0.98713884,0.986602932,0.986132437,0.985460054,0.999330556
0.986011139,0.986988573,0.986222495,0.985890651,0.985024394,0.99922813
0.985584425,0.986630695,0.985632783,0.9856189,0.984333823,0.999187578
0.985388646,0.986334996,0.985751627,0.985169426,0.98417584,0.998774726
0.985035693,0.985985754,0.985452266,0.985025456,0.98400199,0.998642235
0.981994577,0.985664147,0.98336991,0.98433523,0.982530472,0.998595042
0.982540895,0.975309516,0.983325561,0.984163017,0.983114112,0.998576514
0.984459387,0.984730417,0.984770043,0.984268067,0.983329355,0.998004254
0.983903762,0.985368449,0.984626946,0.984099299,0.983321421,0.998585254
0.983589414,0.985217145,0.984440193,0.983784839,0.983000971,0.998560434
0.983324699,0.984810905,0.984292591,0.983515844,0.982937847,0.998457658
0.983142018,0.984726617,0.984139793,0.983348109,0.982715015,0.998490868
0.982036628,0.984371157,0.983051147,0.982434007,0.98207446,0.998144784
0.982699793,0.983885811,0.983399015,0.982636528,0.981683297,0.997722843
0.975586276,0.978349753,0.977481798,0.977054785,0.976737536,0.99228689
0.978369916,0.980742977,0.979844804,0.97926909,0.978956195,0.995620824
0.978074869,0.980638654,0.979742245,0.979131665,0.97878062,0.995719755
0.978565695,0.980902917,0.980226973,0.979372417,0.978983446,0.996108487
0.980756484,0.982895428,0.982016899,0.980778358,0.980246274,0.996632506
0.980869195,0.982891973,0.982192911,0.980961936,0.980422194,0.996998865
0.978428167,0.981132291,0.980355865,0.979381717,0.979232148,0.996349696
0.976416956,0.979265866,0.97856386,0.977646851,0.977339458,0.994690944
0.976150518,0.979015421,0.978186195,0.977042386,0.97688931,0.994417224
0.976001616,0.978696232,0.978094031,0.97689325,0.976797901,0.994161332
0.976039875,0.979197123,0.978328599,0.977379577,0.977132838,0.99469479
0.975782054,0.978717304,0.978132837,0.976912538,0.97691932,0.994933202
0.977395159,0.978500021,0.979160502,0.978058438,0.978016921,0.994683953
0.978143806,0.980832101,0.980029479,0.978760375,0.978698524,0.996030181
0.978195852,0.980799975,0.979942165,0.978405962,0.978586074,0.995907829
0.977876678,0.980486659,0.979845497,0.978273014,0.978208019,0.995673261
0.975945433,0.980039311,0.978078093,0.976764091,0.976925874,0.995357242
0.973890447,0.976991129,0.976656478,0.975377093,0.976005227,0.994007168
0.973917333,0.976979384,0.976663061,0.975453211,0.975892776,0.993880271
0.973484758,0.97658178,0.976332517,0.975057123,0.975497129,0.993592917
0.97338101,0.976657086,0.976482544,0.97472992,0.975874149,0.993500278
0.973789801,0.976027345,0.976351227,0.975269633,0.975491265,0.993359748
0.973244861,0.976396623,0.976338407,0.974648635,0.975775151,0.99355691
0.972908452,0.975645632,0.975567485,0.974148187,0.974969024,0.993462873
0.97265718,0.975483274,0.975706771,0.974098589,0.974999379,0.992841322
0.972209096,0.97549191,0.975223082,0.973934299,0.97467617,0.993972909
0.971790653,0.974850769,0.974836409,0.973147978,0.974279833,0.992897954
0.971673462,0.97462485,0.974786862,0.97316451,0.974333988,0.992807762
0.9715835,0.974507054,0.974510716,0.973254749,0.974064934,0.992766512
